iter	Passed	Remaining
0	165	82385
1	193	48116
2	220	36497
3	243	30155
4	269	26678
5	291	24004
6	316	22298
7	339	20885
8	363	19835
9	388	19037
10	416	18526
11	461	18783
12	498	18678
13	526	18262
14	551	17819
15	579	17520
16	603	17146
17	623	16698
18	655	16585
19	684	16422
20	711	16223
21	740	16085
22	766	15899
23	787	15623
24	811	15423
25	842	15350
26	868	15220
27	896	15113
28	949	15416
29	972	15241
30	994	15051
31	1020	14927
32	1044	14774
33	1088	14919
34	1120	14891
35	1145	14763
36	1163	14557
37	1188	14451
38	1213	14340
39	1239	14255
40	1256	14069
41	1283	13999
42	1318	14016
43	1336	13853
44	1362	13773
45	1395	13773
46	1428	13773
47	1457	13727
48	1484	13658
49	1506	13560
50	1529	13461
51	1552	13379
52	1577	13305
53	1598	13204
54	1620	13107
55	1643	13027
56	1677	13038
57	1701	12963
58	1727	12911
59	1759	12904
60	1785	12849
61	1827	12912
62	1840	12765
63	1866	12713
64	1890	12649
65	1914	12588
66	1922	12426
67	1949	12384
68	1977	12350
69	2004	12313
70	2031	12271
71	2054	12211
72	2080	12166
73	2105	12119
74	2137	12112
75	2169	12105
76	2199	12081
77	2226	12045
78	2250	11995
79	2279	11969
80	2301	11906
81	2325	11852
82	2366	11887
83	2392	11849
84	2422	11829
85	2445	11771
86	2472	11735
87	2499	11701
88	2529	11679
89	2561	11670
90	2592	11654
91	2621	11624
92	2666	11669
93	2704	11679
94	2734	11658
95	2759	11611
96	2781	11554
97	2803	11499
98	2824	11441
99	2847	11388
100	2870	11338
101	2893	11290
102	2919	11253
103	2949	11229
104	2979	11208
105	3009	11186
106	3040	11167
107	3096	11240
108	3127	11217
109	3185	11294
110	3219	11283
111	3250	11259
112	3279	11232
113	3319	11239
114	3352	11222
115	3383	11202
116	3408	11156
117	3431	11110
118	3457	11070
119	3483	11029
120	3506	10982
121	3530	10938
122	3553	10892
123	3577	10847
124	3600	10801
125	3626	10763
126	3655	10736
127	3685	10711
128	3708	10664
129	3732	10623
130	3779	10646
