iter	RMSE
0	3.794443232
1	3.679320872
2	3.559605534
3	3.438528143
4	3.343642474
5	3.245936677
6	3.161256111
7	3.066104959
8	2.985444016
9	2.907058663
10	2.830645886
11	2.766315546
12	2.687638983
13	2.62688098
14	2.565601877
15	2.494326698
16	2.430424762
17	2.375147475
18	2.32668802
19	2.275153797
20	2.228860276
21	2.182199276
22	2.125997085
23	2.078364671
24	2.036897305
25	2.003954442
26	1.969508655
27	1.934272096
28	1.905240558
29	1.868409776
30	1.841699082
31	1.811802196
32	1.779433746
33	1.745998396
34	1.725977252
35	1.703003438
36	1.681608631
37	1.661140392
38	1.632770321
39	1.612084521
40	1.592878012
41	1.571680255
42	1.552678125
43	1.530131169
44	1.511082431
45	1.493911244
46	1.475802639
47	1.461928865
48	1.447672366
49	1.435925586
50	1.419814789
51	1.408360898
52	1.398578147
53	1.390167191
54	1.381719836
55	1.376419656
56	1.366168488
57	1.358483995
58	1.34792837
59	1.339336996
60	1.329189984
61	1.318627024
62	1.313380523
63	1.305698478
64	1.299917334
65	1.295508701
66	1.290386086
67	1.28377614
68	1.278114941
69	1.269894888
70	1.263977395
71	1.256706845
72	1.252920417
73	1.244271819
74	1.240646842
75	1.23306491
76	1.22990309
77	1.223871434
78	1.220941681
79	1.216712148
80	1.210810772
81	1.206380266
82	1.202540249
83	1.201238974
84	1.193324682
85	1.19065292
86	1.185146131
87	1.179084022
88	1.176483798
89	1.172485197
90	1.171318329
91	1.16990899
92	1.168597364
93	1.163171075
94	1.16219314
95	1.156986711
96	1.150187864
97	1.142017316
98	1.139456611
99	1.134317364
100	1.127343113
101	1.126546669
102	1.122060618
103	1.11889726
104	1.113682617
105	1.10820748
106	1.102909767
107	1.09993296
108	1.09929397
109	1.096657334
110	1.093073111
111	1.090942395
112	1.087511143
113	1.084362212
114	1.082192901
115	1.082158225
116	1.078448353
117	1.07519901
118	1.072707091
119	1.064738586
120	1.061034014
121	1.058933454
122	1.054485526
123	1.050479371
124	1.046160753
125	1.039773601
126	1.039432559
127	1.035008904
128	1.032118512
129	1.029437515
130	1.020409515
