iter	Passed	Remaining
0	158	78957
1	213	53051
2	235	39051
3	258	32023
4	283	28089
5	316	26050
6	342	24107
7	366	22545
8	391	21332
9	419	20542
10	446	19854
11	473	19256
12	496	18604
13	519	18032
14	542	17554
15	567	17153
16	592	16820
17	611	16381
18	639	16182
19	664	15957
20	688	15697
21	711	15468
22	736	15270
23	764	15155
24	791	15047
25	820	14955
26	849	14886
27	876	14779
28	909	14768
29	940	14738
30	970	14686
31	1048	15333
32	1081	15300
33	1105	15145
34	1128	14996
35	1156	14902
36	1202	15050
37	1231	14968
38	1259	14888
39	1315	15129
40	1327	14863
41	1353	14757
42	1376	14632
43	1393	14441
44	1425	14417
45	1457	14389
46	1473	14203
47	1496	14091
48	1520	13990
49	1545	13906
50	1570	13828
51	1595	13747
52	1621	13674
53	1648	13613
54	1674	13550
55	1699	13474
56	1725	13407
57	1749	13330
58	1772	13245
59	1795	13167
60	1818	13087
61	1844	13031
62	1855	12871
63	1881	12817
64	1912	12801
65	1937	12743
66	1946	12578
67	1971	12526
68	1998	12485
69	2026	12448
70	2067	12492
71	2097	12466
72	2127	12446
73	2171	12502
74	2217	12563
75	2245	12525
76	2273	12491
77	2302	12456
78	2325	12394
79	2348	12330
80	2372	12270
81	2396	12216
82	2419	12153
83	2443	12099
84	2471	12067
85	2501	12044
86	2530	12010
87	2558	11976
88	2589	11958
89	2616	11917
90	2640	11869
91	2663	11809
92	2689	11769
93	2713	11721
94	2739	11679
95	2762	11627
96	2788	11585
97	2813	11541
98	2853	11559
99	2877	11509
100	2901	11462
101	2930	11433
102	2955	11393
103	2982	11356
104	3005	11308
105	3028	11255
106	3051	11209
107	3084	11195
108	3108	11149
109	3139	11130
110	3172	11118
111	3205	11105
112	3232	11070
113	3257	11030
114	3287	11007
115	3319	10987
116	3346	10953
117	3376	10929
118	3411	10921
119	3442	10900
120	3471	10874
121	3529	10935
122	3559	10909
123	3586	10876
124	3640	10922
125	3665	10878
126	3689	10835
127	3714	10795
128	3738	10750
129	3764	10713
130	3789	10674
131	3813	10630
132	3836	10585
133	3859	10542
134	3884	10501
135	3908	10460
136	3933	10421
137	3956	10379
138	3981	10339
139	4004	10298
140	4029	10260
141	4055	10223
142	4088	10207
143	4116	10175
144	4141	10140
145	4174	10120
146	4207	10103
147	4231	10064
148	4254	10021
149	4278	9982
150	4304	9949
151	4332	9920
152	4363	9896
153	4393	9870
154	4416	9830
155	4441	9793
156	4465	9756
157	4491	9721
158	4517	9688
159	4547	9662
160	4574	9633
161	4604	9607
162	4638	9589
163	4667	9563
164	4723	9589
165	4781	9621
166	4815	9601
167	4850	9586
168	4882	9562
169	4914	9540
170	4939	9503
171	4966	9471
172	4993	9437
173	5031	9427
174	5065	9406
175	5103	9394
176	5165	9426
177	5243	9485
